# Ocean tidal loading corrections for the center-of-mass motion
# From the web page of Hans-Georg Scherneck at Onsala Space Observatory
# (http://holt.oso.chalmers.se/loading/CMC/)
# Z X Y in-phase and cross-phase coefficients for 11 tidal components in meters
# Values to be ADDED to the joint center of mass to put the tides into a solid-Earth fixed frame
# Read by subroutine /gamit/lib/otl_cmc.f
# Format: (a3,6x,a8,t42,3(2x,2e12.4))
#
# The following ocean loading (OL) models are used by the respective
# analysis centers for their original and operational submissions:
# com: FES2004 
# emr: FES2004 
# esa: FES2004 
# gfz: NONE, FES2004 
# grg: ------, FES2004, FES2012 
# igr: FES2004 
# igs: FES2004 
# jpl: FES2002, FES2004, GOT4.8AC
# mit: FES2004, FES2004E
# ngs: FES2004 
# qzf: FES2004 
# sio: FES2004 
# tum: FES2004 
# wum: FES2004 
#
# The following ocean loading (OL) models are used for repro1:
# co1: FES2004 
# em1: FES2004 
# es1: FES2004 
# gf1: FES2004 
# jp1: FES2004 
# mi1: FES2004 
# ng1: FES2004 
# si1: FES2004
# ul1: FES2004 
# ig1: FES2004 
#
# The following ocean loading (OL) models are used for repro2:
# em2: FES2004 
# es2: FES2004 
# gf2: FES2004 
# gr2: FES2012 
# gt2: FES2004 
# jp2: GOT4.8AC
# mi2: FES2004E
# si2: FES2004 
# ul2: FES2004 
# ig2: NONE, FES2004 
#
#                                            in-phase Z  out-Z           in-X       out-X          in-Y       out-Y 
MODEL AG06
M2   NCDF_AG06                              -1.5020E-03 -1.6712E-03   -1.3204E-03  7.4320E-04    1.1103E-03  2.1513E-04
S2   NCDF_AG06                              -3.5891E-04 -7.3584E-04   -6.6424E-04 -2.5450E-04   -6.1327E-05  3.4028E-04
N2   NCDF_AG06                              -4.3208E-04 -2.5004E-04   -2.2091E-04  1.8429E-04    2.4849E-04  1.3874E-05
K2   NCDF_AG06                              -1.3415E-04 -2.7568E-04   -2.5949E-04  3.2876E-05    1.2871E-04  8.3407E-05
K1   NCDF_AG06                              -1.2833E-03  4.7644E-03   -2.0291E-03 -1.0825E-03   -9.7657E-04 -1.8102E-03
O1   NCDF_AG06                              -3.9323E-04  3.0222E-03   -1.1889E-03 -1.6353E-04   -9.2680E-04 -6.9624E-04
P1   NCDF_AG06                              -3.5774E-04  1.5131E-03   -6.2664E-04 -2.8615E-04   -3.0544E-04 -6.1015E-04
Q1   NCDF_AG06                              -1.5384E-04  6.5893E-04   -3.4022E-04 -1.8480E-04   -2.9689E-04  1.5729E-05
Mf   NCDF_AG06                              -3.9438E-04  1.0087E-06   -8.9622E-05  4.1706E-04   -1.3132E-04  9.0613E-05
Mm   NCDF_AG06                              -2.3693E-04  1.9532E-05   -4.8512E-05  1.1285E-04   -1.4766E-05  2.6251E-06
Ssa  NCDF_AG06                              -1.5820E-04  1.7610E-06    1.3627E-04  3.5125E-05   -1.8592E-05  6.9054E-07
